room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,property_type,last_modified,latitude,longitude,location
14250495,1438,86741660,Shared room,,New York,Brooklyn,Crown Heights,1,0.0,1,1.0,,25.0,,HUGE Private Bedroom w/ Prospect Park View,Apartment,2017-07-15 21:22:17.773257,40.667829,-73.960962,0101000020E6100000B8ACC266807D52C00229B16B7B554440
16327138,1438,39528519,Shared room,,New York,Manhattan,Lower East Side,0,0.0,1,1.0,,29.0,,Private' room. Best area!XB,Apartment,2017-07-15 21:22:17.767562,40.711793,-73.981172,0101000020E61000000FF0A485CB7E52C0C84274081C5B4440
10922889,1438,39528519,Shared room,,New York,Manhattan,Lower East Side,1,0.0,1,1.0,,29.0,,Private' room. Amazing view)XA,Apartment,2017-07-15 21:22:17.752208,40.709855,-73.987235,0101000020E6100000DC9DB5DB2E7F52C077F35487DC5A4440
7896572,1438,41278424,Shared room,,New York,Queens,Rego Park,3,4.5,2,1.0,,35.0,,DormBed $35 1 $60 for 2 $45 noSHARE,House,2017-07-15 21:22:16.015471,40.723148,-73.858,0101000020E6100000F4FDD478E97652C07B15191D905C4440
7804958,1438,2868914,Shared room,,New York,Queens,Kew Gardens,3,3.5,1,1.0,,36.0,,CozyCreativeMusicalHangUrHat,Apartment,2017-07-15 21:22:16.012271,40.705049,-73.833834,0101000020E6100000BE1248895D7552C0EC89AE0B3F5A4440
7726982,1438,8616890,Shared room,,New York,Manhattan,Washington Heights,16,4.5,1,1.0,,27.0,,Crash on our Couch in the Heights!,Apartment,2017-07-15 21:22:16.009819,40.85054,-73.935159,0101000020E6100000D86322A5D97B52C04DF8A57EDE6C4440
4288271,1438,20892447,Shared room,,New York,Queens,Sunnyside,40,4.5,4,1.0,,32.0,,Living Room with a couch or matress,Apartment,2017-07-15 21:22:16.006738,40.744813,-73.917536,0101000020E6100000C539EAE8B87A52C05D514A08565F4440
7749901,1438,39528519,Shared room,,New York,Manhattan,Lower East Side,1,0.0,1,1.0,,32.0,,Private' room. Amazing view!VA,Apartment,2017-07-15 21:22:15.989839,40.709701,-73.98724,0101000020E61000006553AEF02E7F52C021787C7BD75A4440
9031847,1438,9639313,Shared room,,New York,Brooklyn,Bedford-Stuyvesant,6,5.0,2,1.0,,40.0,,Couchy bed,Apartment,2017-07-15 21:22:15.986758,40.692662,-73.928387,0101000020E610000005C24EB16A7B52C04A97FE25A9584440
7836258,1438,41278424,Shared room,,New York,Queens,Rego Park,3,5.0,2,1.0,,35.0,,DormBed $35 1 $60 for 2 $45 noSHARE,House,2017-07-15 21:22:15.983734,40.722656,-73.85686,0101000020E6100000095053CBD67652C00C21E7FD7F5C4440
